TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
VICTOR,THOMAS GILOU,DU DOCTEUR LANCEREAUX,75008,RUE DU DOCTEUR LANCEREAUX 75008 Paris France,"48.876055, 2.310371"
UNE SEMAINE SUR DEUX,IVAN CALBERAC,LHOMOND,75005,RUE LHOMOND 75005 Paris France,"48.84283, 2.347075"
VISAGES,TSAI MING LIANG,GERMAIN PILON,75018,RUE GERMAIN PILON 75018 Paris France,
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,D'ARCOLE,75004,PONT D'ARCOLE 75004 Paris France,"48.85546, 2.350547"
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,D'ORLEANS,75004,QUAI D'ORLEANS 75004 Paris France,"48.851629, 2.354153"
MA MEC A MOI,J.J.ZILBERMANN,BARBES,75018,BOULEVARD BARBES 75018 Paris France,"48.887872, 2.34953"
MON BEAU PERE,ELIE CHOURAQUI,DE LA REPUBLIQUE,75010,PLACE DE LA REPUBLIQUE 75010 Paris France,"48.86803, 2.363761"
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,DE BETHUNE,75004,QUAI DE BETHUNE 75004 Paris France,"48.850582, 2.357518"
SWEET VALENTINE,EMMA LUCHINI,JEAN BEAUVAIS,75005,RUE JEAN BEAUVAIS 75005 Paris France,
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,DES GRANDS AUGUSTINS,75006,QUAI DES GRANDS AUGUSTINS 75006 Paris France,"48.854679, 2.342401"
MON BEAU PERE,ELIE CHOURAQUI,JOHANN STRAUSS,75010,PLACE JOHANN STRAUSS 75010 Paris France,"48.875508, 2.357853"
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,LEGRATTIER,75004,RUE LEGRATTIER 75004 Paris France,
SWEET VALENTINE,EMMA LUCHINI,SOMMERARD,75005,RUE SOMMERARD 75005 Paris France,
SWEET VALENTINE,EMMA LUCHINI,DES ECOLE,75005,RUE DES ECOLE 75005 Paris France,"48.845459, 2.34591"
SWEET VALENTINE,EMMA LUCHINI,DE LA MONTAGNE SAINTE GENEVIEVE,75005,RUE DE LA MONTAGNE SAINTE GENEVIEVE 75005 Paris France,"48.848064, 2.348511"
MON BEAU PERE,ELIE CHOURAQUI,SAINT MARTIN,75010,BOULEVARD SAINT MARTIN 75010 Paris France,"48.868454, 2.359001"
MON BEAU PERE,ELIE CHOURAQUI,RENE BOULANGER,75010,RUE RENE BOULANGER 75010 Paris France,"48.868379, 2.360862"
COCO,GAD ELMALEH,DES CHAMPS ELYSEES,75008,AVENUE DES CHAMPS ELYSEES 75008 Paris France,"48.869576, 2.30825"
HADEWIJCH,BRUNO DUMONT,SAINT GERMAIN,75005,BOULEVARD SAINT GERMAIN 75005 Paris France,"48.851678, 2.342049"
LE CONCERT,RADU MIHAILEANU,D'ORSAY,75007,QUAI D'ORSAY 75007 Paris France,"48.862618, 2.310791"
LE CONCERT,RADU MIHAILEANU,ALBERT 1ER,75008,COURS ALBERT 1ER 75008 Paris France,"48.8647, 2.308095"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,BAUDOYER,75004,PLACE BAUDOYER 75004 Paris France,"48.856155, 2.355389"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,FRANCOIS MIRON,75004,RUE FRANCOIS MIRON 75004 Paris France,"48.855659, 2.357158"
JULIE AND JULIA,NORA EPHRON,GARIBALDI,75015,BOULEVARD GARIBALDI 75015 Paris France,"48.846461, 2.306116"
